k,rtt,tput,cwnd,M,U,Xl,Xt,port
0,71.353,0.065463104,4931888,0,0,3.3529999999999944,-9.934536896000001,5123
1,71.133,0.559491728,17351384,0,0,3.1329999999999956,-9.440508272,5123
2,115.037,0.663168336,8682208,0,0,47.037000000000006,-9.336831664,5123
3,115.038,0.63660672,8696688,0,0,47.038,-9.36339328,5123
4,116.085,0.63715176,8782120,0,0,48.084999999999994,-9.36284824,5123
5,118.482,0.63660672,8963120,0,0,50.482,-9.36339328,5123
6,121.368,0.63878688,9236792,0,0,53.367999999999995,-9.36121312,5123
7,125.175,0.64151208,9598792,0,0,57.175,-9.35848792,5123
8,132.384,0.640422,10040432,0,0,64.38399999999999,-9.359577999999999,5123
9,137.821,0.64151208,10555920,0,0,69.821,-9.35848792,5123
10,145.769,0.64205712,11138016,0,0,77.769,-9.35794288,5123
11,153.888,0.64369224,11780928,0,0,85.888,-9.35630776,5123
12,80.277,0.584052752,6090288,0,0,12.277000000000001,-9.415947248,5123
13,80.189,0.6376968,6107664,0,0,12.188999999999993,-9.3623032,5123
14,82.325,0.6376968,6197440,0,0,14.325000000000003,-9.3623032,5123
15,84.744,0.63933192,6418984,0,0,16.744,-9.36066808,5123
16,88.76,0.63878688,6762160,0,0,20.760000000000005,-9.36121312,5123
17,94.297,0.64151208,7213936,0,0,26.296999999999997,-9.35848792,5123
18,101.867,0.64205712,7756936,0,0,33.867000000000004,-9.35794288,5123
19,108.987,0.6431472,8381024,0,0,40.986999999999995,-9.3568528,5123
20,118.255,0.6431472,9070272,0,0,50.254999999999995,-9.3568528,5123
21,128.174,0.6431472,9815992,0,0,60.17400000000001,-9.3568528,5123
22,138.904,0.64423728,10606600,0,0,70.904,-9.35576272,5123
23,149.398,0.64260216,11437752,0,0,81.398,-9.35739784,5123
24,163.708,0.598284352,6723064,0,0,95.708,-9.401715648,5123
25,80.625,0.627861856,6110560,0,0,12.625,-9.372138144000001,5123
26,80.651,0.63660672,6165584,0,0,12.650999999999996,-9.36339328,5123
27,82.533,0.63824184,6349480,0,0,14.533000000000001,-9.36175816,5123
28,86.859,0.640422,6659352,0,0,18.858999999999995,-9.359577999999999,5123
29,92.667,0.64096704,7082168,0,0,24.667,-9.35903296,5123
