k,rtt,tput,cwnd,M,U,Xl,Xt,port
0,68.98,0.00683944,547344,0,0,0.980000000000004,-9.99316056,5128
1,162.034,0.467877616,16369640,0,0,94.03399999999999,-9.532122384000001,5128
2,109.114,0.587359856,8188440,0,0,41.114000000000004,-9.412640144000001,5128
3,108.712,0.63279144,8202920,0,0,40.712,-9.36720856,5128
4,110.122,0.63279144,8270976,0,0,42.122,-9.36720856,5128
5,111.78,0.63442656,8440392,0,0,43.78,-9.36557344,5128
6,114.684,0.63551664,8706824,0,0,46.684,-9.36448336,5128
7,120.182,0.63606168,9064480,0,0,52.182,-9.36393832,5128
8,125.656,0.63715176,9507568,0,0,57.656000000000006,-9.36284824,5128
9,131.9,0.63660672,10023056,0,0,63.900000000000006,-9.36339328,5128
10,140.546,0.63715176,10609496,0,0,72.54599999999999,-9.36284824,5128
11,148.195,0.6376968,11255304,0,0,80.195,-9.3623032,5128
12,158.112,0.63551664,11951792,0,0,90.112,-9.36448336,5128
13,80.995,0.577173136,6084496,0,0,12.995000000000005,-9.422826864,5128
14,81.086,0.63333648,6107664,0,0,13.085999999999999,-9.36666352,5128
15,83.117,0.63388152,6237984,0,0,15.117000000000004,-9.36611848,5128
16,87.336,0.63388152,6495728,0,0,19.336,-9.36611848,5128
17,90.429,0.63660672,6873656,0,0,22.429000000000002,-9.36339328,5128
18,97.1,0.63606168,7351496,0,0,29.099999999999994,-9.36393832,5128
19,104.439,0.6376968,7917664,0,0,36.43899999999999,-9.3623032,5128
20,112.815,0.63824184,8559128,0,0,44.815,-9.36175816,5128
21,122.097,0.6376968,9261408,0,0,54.096999999999994,-9.3623032,5128
22,131.835,0.63824184,10017264,0,0,63.83500000000001,-9.36175816,5128
23,142.487,0.640422,10820904,0,0,74.487,-9.359577999999999,5128
24,152.731,0.640422,11663640,0,0,84.731,-9.359577999999999,5128
25,81.016,0.579583424,6081600,0,0,13.016000000000005,-9.420416576000001,5128
26,80.506,0.63333648,6098976,0,0,12.506,-9.36666352,5128
27,81.304,0.63442656,6190200,0,0,13.304000000000002,-9.36557344,5128
28,84.468,0.63551664,6411744,0,0,16.468000000000004,-9.36448336,5128
29,90.095,0.63606168,6754920,0,0,22.095,-9.36393832,5128
30,95.254,0.63715176,7205248,0,0,27.254000000000005,-9.36284824,5128
