k,rtt,tput,cwnd,M,U,Xl,Xt,port
0,68.552,0.05548824,3756112,0,0,0.5520000000000067,-9.94451176,5125
1,68.059,0.587397776,8683656,1,0.476,0.0589999999999975,-9.412602224,5125
2,70.711,0.47854512,8685104,1,0.536,2.7109999999999985,-9.52145488,5125
3,70.46,0.54394992,8685104,1,0.519,2.4599999999999937,-9.45605008,5125
4,70.505,0.53032392,8685104,1,0.516,2.5049999999999955,-9.46967608,5125
5,70.624,0.5232384,8685104,1,0.511,2.6239999999999952,-9.4767616,5125
6,70.496,0.5232384,8685104,1,0.498,2.495999999999995,-9.4767616,5125
7,70.61,0.50852232,8685104,1,0.502,2.6099999999999994,-9.49147768,5125
8,70.743,0.50579712,8685104,1,0.505,2.742999999999995,-9.49420288,5125
9,70.624,0.51342768,8685104,1,0.5,2.6239999999999952,-9.48657232,5125
10,70.695,0.50743224,8685104,1,0.502,2.694999999999993,-9.49256776,5125
11,70.677,0.50579712,8685104,1,0.501,2.6770000000000067,-9.49420288,5125
12,70.645,0.50634216,8685104,1,0.5,2.644999999999996,-9.493657840000001,5125
13,70.666,0.503072288,8685104,1,0.501,2.665999999999997,-9.496927712,5125
14,70.736,0.50906736,8685104,1,0.502,2.736000000000004,-9.49093264,5125
15,70.672,0.50361696,8685104,1,0.501,2.671999999999997,-9.49638304,5125
16,70.681,0.50525208,8685104,1,0.501,2.6809999999999974,-9.49474792,5125
17,70.766,0.50252688,8685104,1,0.503,2.7660000000000053,-9.49747312,5125
18,70.635,0.50797728,8685104,1,0.499,2.635000000000005,-9.49202272,5125
19,70.682,0.50525208,8685104,1,0.501,2.682000000000002,-9.49474792,5125
20,70.644,0.50579712,8685104,1,0.5,2.6440000000000055,-9.49420288,5125
21,70.698,0.50470704,8685104,1,0.502,2.6979999999999933,-9.49529296,5125
22,70.63,0.50579712,8685104,1,0.5,2.6299999999999955,-9.49420288,5125
23,70.774,0.50579712,8685104,1,0.504,2.774000000000001,-9.49420288,5125
24,70.658,0.50906736,8685104,1,0.5,2.6580000000000013,-9.49093264,5125
25,70.701,0.50470704,8685104,1,0.502,2.7009999999999934,-9.49529296,5125
26,70.718,0.50634216,8685104,1,0.502,2.7180000000000035,-9.493657840000001,5125
27,70.711,0.50634216,8685104,1,0.501,2.7109999999999985,-9.493657840000001,5125
28,70.685,0.51288264,8685104,1,0.501,2.6850000000000023,-9.48711736,5125
29,70.633,0.5123376,8685104,1,0.499,2.6329999999999956,-9.4876624,5125
