k,rtt,tput,cwnd,M,U,Xl,Xt,port
0,70.128,0.023678776,1905568,0,0,2.128,-9.976321224,5141
1,82.674,0.580663504,14617560,0,0,14.674000000000007,-9.419336496,5141
2,97.523,0.578129984,7318192,0,0,29.522999999999996,-9.421870016,5141
3,97.437,0.63061128,7338464,0,0,29.436999999999998,-9.36938872,5141
4,98.619,0.63061128,7449960,0,0,30.619,-9.36938872,5141
5,101.784,0.63061128,7670056,0,0,33.784000000000006,-9.36938872,5141
6,105.771,0.63279144,7994408,0,0,37.771,-9.36720856,5141
7,111.16,0.6349716,8414328,0,0,43.16,-9.3650284,5141
8,118.399,0.63279144,8915336,0,0,50.399,-9.36720856,5141
9,126.064,0.6349716,9494536,0,0,58.06399999999999,-9.3650284,5141
10,134.5,0.6349716,10136000,0,0,66.5,-9.3650284,5141
11,144.108,0.63442656,10832488,0,0,76.108,-9.36557344,5141
12,153.697,0.6349716,11578208,0,0,85.697,-9.3650284,5141
13,83.877,0.57798464,6070016,0,0,15.876999999999995,-9.42201536,5141
14,81.396,0.62897616,6087392,0,0,13.396,-9.37102384,5141
15,81.269,0.63006624,6158344,0,0,13.269000000000005,-9.36993376,5141
16,84.237,0.6295212,6359616,0,0,16.236999999999995,-9.3704788,5141
17,88.595,0.63279144,6683968,0,0,20.595,-9.36720856,5141
18,95.143,0.63279144,7115472,0,0,27.143,-9.36720856,5141
19,101.296,0.63279144,7643992,0,0,33.29600000000001,-9.36720856,5141
20,109.498,0.6349716,8252152,0,0,41.498000000000005,-9.3650284,5141
21,118.69,0.6349716,8928368,0,0,50.69,-9.3650284,5141
22,127.716,0.6349716,9659608,0,0,59.715999999999994,-9.3650284,5141
23,138.896,0.63715176,10440080,0,0,70.89599999999999,-9.36284824,5141
24,148.754,0.6376968,11263992,0,0,80.75399999999999,-9.3623032,5141
25,161.033,0.6349716,12122656,0,0,93.03299999999999,-9.3650284,5141
26,80.141,0.57271592,6081600,0,0,12.141000000000005,-9.42728408,5141
27,81.29,0.6295212,6120696,0,0,13.290000000000006,-9.3704788,5141
28,83.86,0.63279144,6284320,0,0,15.86,-9.36720856,5141
29,86.99,0.63006624,6573920,0,0,18.989999999999995,-9.36993376,5141
