k,rtt,tput,cwnd,M,U,Xl,Xt,port
0,68.217,0.028892232,1975072,0,0,0.21699999999999875,-9.971107768,5121
1,180.249,0.5547948,12953808,0,0,112.249,-9.4452052,5121
2,69.94,0.454610864,4359928,0,0,1.9399999999999977,-9.545389136,5121
3,69.34,0.5259636,4383096,0,0,1.3400000000000034,-9.4740364,5121
4,69.476,0.5368644,4507624,0,0,1.475999999999999,-9.4631356,5121
5,69.409,0.56302632,4792880,0,0,1.409000000000006,-9.43697368,5121
6,69.615,0.60444936,5237416,0,0,1.6149999999999949,-9.39555064,5121
7,76.291,0.63987696,5822408,0,0,8.290999999999997,-9.36012304,5121
8,85.091,0.64096704,6497176,0,0,17.090999999999994,-9.35903296,5121
9,95.162,0.6431472,7240000,0,0,27.162000000000006,-9.3568528,5121
10,105.502,0.64260216,8037848,0,0,37.501999999999995,-9.35739784,5121
11,115.966,0.64260216,8879136,0,0,47.965999999999994,-9.35739784,5121
12,127.052,0.64260216,9758072,0,0,59.05200000000001,-9.35739784,5121
13,139.075,0.64369224,10665968,0,0,71.07499999999999,-9.35630776,5121
14,151.737,0.64260216,11597032,0,0,83.737,-9.35739784,5121
15,80.37,0.585300288,6103320,0,0,12.370000000000005,-9.414699712,5121
16,81.024,0.63606168,6120696,0,0,13.024000000000001,-9.36393832,5121
17,82.008,0.63660672,6201784,0,0,14.007999999999996,-9.36339328,5121
18,84.959,0.63660672,6414640,0,0,16.959000000000003,-9.36339328,5121
19,88.39,0.6376968,6747680,0,0,20.39,-9.3623032,5121
20,94.003,0.63987696,7192216,0,0,26.003,-9.36012304,5121
21,101.029,0.63824184,7727976,0,0,33.028999999999996,-9.36175816,5121
22,109.435,0.640422,8343376,0,0,41.435,-9.359577999999999,5121
23,118.376,0.64369224,9028280,0,0,50.376000000000005,-9.35630776,5121
24,127.765,0.64151208,9768208,0,0,59.765,-9.35848792,5121
25,138.166,0.64260216,10553024,0,0,70.166,-9.35739784,5121
26,149.236,0.64369224,11384176,0,0,81.23599999999999,-9.35630776,5121
27,163.085,0.618656736,9199144,0,0,95.08500000000001,-9.381343264,5121
28,80.22,0.603528848,6109112,0,0,12.219999999999999,-9.396471152,5121
29,81.207,0.63660672,6156896,0,0,13.206999999999994,-9.36339328,5121
