k,rtt,tput,cwnd,M,U,Xl,Xt,port
0,84.812,0.141258944,10237360,1,0.608,16.811999999999998,-9.858741056,5122
1,70.139,0.61426008,10868688,1,0.339,2.138999999999996,-9.38573992,5122
2,71.652,0.35046072,10868688,1,0.434,3.652000000000001,-9.64953928,5122
3,70.972,0.43984728,10868688,1,0.435,2.971999999999994,-9.56015272,5122
4,70.952,0.43821216,10868688,1,0.449,2.951999999999998,-9.56178784,5122
5,70.916,0.45619848,10868688,1,0.505,2.915999999999997,-9.54380152,5122
6,70.551,0.5123376,10868688,1,0.49,2.551000000000002,-9.4876624,5122
7,70.761,0.49707648,10868688,1,0.501,2.7609999999999957,-9.50292352,5122
8,70.592,0.50525208,10868688,1,0.497,2.5919999999999987,-9.49474792,5122
9,70.676,0.50470704,10868688,1,0.501,2.676000000000002,-9.49529296,5122
10,70.688,0.50634216,10868688,1,0.502,2.6880000000000024,-9.493657840000001,5122
11,70.637,0.50634216,10868688,1,0.5,2.6370000000000005,-9.493657840000001,5122
12,70.627,0.50852232,10868688,1,0.5,2.6269999999999953,-9.49147768,5122
13,70.67,0.50579712,10868688,1,0.501,2.6700000000000017,-9.49420288,5122
14,70.599,0.50852232,10868688,1,0.5,2.5990000000000038,-9.49147768,5122
15,70.586,0.50634216,10868688,1,0.5,2.5859999999999985,-9.493657840000001,5122
16,70.566,0.5068872,10868688,1,0.499,2.5660000000000025,-9.4931128,5122
17,70.588,0.50852232,10868688,1,0.5,2.587999999999994,-9.49147768,5122
18,70.584,0.50579712,10868688,1,0.501,2.584000000000003,-9.49420288,5122
19,70.712,0.50743224,10868688,1,0.503,2.7120000000000033,-9.49256776,5122
20,70.671,0.5068872,10868688,1,0.502,2.6710000000000065,-9.4931128,5122
21,70.621,0.51015744,10868688,1,0.5,2.620999999999995,-9.48984256,5122
22,70.676,0.507977616,10868688,1,0.501,2.676000000000002,-9.492022384,5122
23,70.67,0.50525208,10868688,1,0.501,2.6700000000000017,-9.49474792,5122
24,70.89,0.5068872,10868688,1,0.506,2.8900000000000006,-9.4931128,5122
25,70.584,0.51288264,10868688,1,0.498,2.584000000000003,-9.48711736,5122
26,70.767,0.50525208,10868688,1,0.503,2.766999999999996,-9.49474792,5122
27,70.626,0.50797728,10868688,1,0.499,2.6260000000000048,-9.49202272,5122
28,70.629,0.50470704,10868688,1,0.499,2.629000000000005,-9.49529296,5122
29,70.708,0.50579712,10868688,1,0.502,2.7079999999999984,-9.49420288,5122
