k,rtt,tput,cwnd,M,U,Xl,Xt,port
0,68.915,0.063495624,4209336,0,0,0.9150000000000063,-9.936504376,5140
1,89.031,0.524125824,11953240,1,0.824,21.031000000000006,-9.475874176,5140
2,111.763,0.674407136,8688000,1,1.203,43.763000000000005,-9.325592864,5140
3,114.197,0.6458724,8701032,1,1.144,46.197,-9.3541276,5140
4,115.51,0.64205712,8771984,1,1.098,47.510000000000005,-9.35794288,5140
5,117.336,0.64260216,8941400,1,0.946,49.336,-9.35739784,5140
6,121.25,0.64478232,9204936,1,0.917,53.25,-9.355217679999999,5140
7,125.409,0.64696248,9558248,1,0.973,57.409000000000006,-9.35303752,5140
8,131.445,0.6458724,9994096,1,1.064,63.44499999999999,-9.3541276,5140
9,137.934,0.64696248,10508136,1,1.146,69.934,-9.35303752,5140
10,145.672,0.64478232,11088784,1,1.238,77.672,-9.355217679999999,5140
11,153.671,0.65023272,11733144,1,1.319,85.67099999999999,-9.34976728,5140
12,80.872,0.593342656,6083048,0,0,12.872,-9.406657344,5140
13,80.664,0.63551664,6101872,0,0,12.664000000000001,-9.36448336,5140
14,80.719,0.63606168,6185856,0,0,12.718999999999994,-9.36393832,5140
15,84.092,0.63606168,6403056,0,0,16.092,-9.36393832,5140
16,88.188,0.63987696,6743336,0,0,20.188000000000002,-9.36012304,5140
17,94.244,0.640422,7190768,0,0,26.244,-9.359577999999999,5140
18,100.647,0.64096704,7730872,0,0,32.647000000000006,-9.35903296,5140
19,110.781,0.640422,8350616,1,1.06,42.781000000000006,-9.359577999999999,5140
20,118.77,0.65023272,9045656,1,1.131,50.769999999999996,-9.34976728,5140
21,128.304,0.65023272,9800064,1,1.222,60.304,-9.34976728,5140
22,138.234,0.65186784,10599360,1,1.307,70.23400000000001,-9.34813216,5140
23,149.677,0.65241288,11444992,1,1.412,81.67699999999999,-9.34758712,5140
24,166.043,0.5971216,6091736,0,0,98.043,-9.4028784,5140
25,81.047,0.63273088,6110560,0,0,13.046999999999997,-9.36726912,5140
26,81.006,0.63606168,6167032,0,0,13.006,-9.36393832,5140
27,82.83,0.6376968,6353824,0,0,14.829999999999998,-9.3623032,5140
28,87.849,0.6376968,6665144,0,0,19.849000000000004,-9.3623032,5140
29,92.352,0.63933192,7087960,0,0,24.352000000000004,-9.36066808,5140
