k,rtt,tput,cwnd,M,U,Xl,Xt,port
0,76.188,0.002337616,28960,0,0,8.188000000000002,-9.997662384,5150
1,69.863,0.005486736,78192,0,0,1.8629999999999995,-9.994513264,5150
2,70.079,0.018058992,238920,0,0,2.0789999999999935,-9.981941008,5150
3,68.327,0.047006672,541552,0,0,0.3269999999999982,-9.952993328,5150
4,68.392,0.095188208,1016496,0,0,0.3919999999999959,-9.904811792,5150
5,68.896,0.164517296,1660856,0,0,0.8960000000000008,-9.835482704,5150
6,68.595,0.254691136,2499248,0,0,0.5949999999999989,-9.745308864,5150
7,69.35,0.36299664,3530224,0,0,1.3499999999999943,-9.63700336,5150
8,69.049,0.50743224,4787088,0,0,1.0490000000000066,-9.49256776,5150
9,80.641,0.6295212,6167032,0,0,12.641000000000005,-9.3704788,5150
10,97.845,0.64096704,7464440,0,0,29.845,-9.35903296,5150
11,113.479,0.64205712,8699584,1,1.331,45.479,-9.35794288,5150
12,129.974,0.65077776,9917352,1,1.524,61.97399999999999,-9.34922224,5150
13,145.505,0.65023272,11119192,1,1.626,77.505,-9.34976728,5150
14,164.286,0.610408464,7545528,0,0,96.286,-9.389591536,5150
15,80.156,0.619976944,6101872,0,0,12.156000000000006,-9.380023056,5150
16,80.44,0.6376968,6155448,0,0,12.439999999999998,-9.3623032,5150
17,82.771,0.63933192,6337896,0,0,14.771,-9.36066808,5150
18,86.802,0.640422,6646320,0,0,18.802000000000007,-9.359577999999999,5150
19,93.086,0.64205712,7066240,0,0,25.086,-9.35794288,5150
20,99.004,0.64205712,7584624,0,0,31.004000000000005,-9.35794288,5150
21,106.892,0.6431472,8185544,1,0.994,38.891999999999996,-9.3568528,5150
22,114.861,0.65186784,8866104,1,1.075,46.861000000000004,-9.34813216,5150
23,125.124,0.65186784,9604584,1,1.193,57.123999999999995,-9.34813216,5150
24,136.129,0.65241288,10396640,1,1.311,68.12899999999999,-9.34758712,5150
25,147.089,0.654048,11230688,1,1.407,79.089,-9.345952,5150
26,158.411,0.6513228,12100936,1,1.499,90.411,-9.348677200000001,5150
27,81.334,0.587432,6119248,0,0,13.334000000000003,-9.412568,5150
28,81.113,0.63606168,6154000,0,0,13.113,-9.36393832,5150
29,83.177,0.63878688,6304592,0,0,15.177000000000007,-9.36121312,5150
