k,rtt,tput,cwnd,M,U,Xl,Xt,port
0,68.91,0.044005752,2913376,0,0,0.9099999999999966,-9.955994248,5134
1,84.0,0.683527888,17336904,1,0.732,16.0,-9.316472112,5134
2,115.298,0.618898976,8674968,1,1.312,47.298,-9.381101024,5134
3,115.711,0.63933192,8692344,1,1.185,47.711,-9.36066808,5134
4,116.389,0.6458724,8785016,1,1.118,48.388999999999996,-9.3541276,5134
5,118.053,0.63987696,8974704,1,0.959,50.053,-9.36012304,5134
6,121.118,0.64641744,9259960,1,0.887,53.117999999999995,-9.35358256,5134
7,126.448,0.6458724,9633544,1,0.984,58.44799999999999,-9.3541276,5134
8,133.363,0.6458724,10086768,1,1.098,65.363,-9.3541276,5134
9,139.155,0.64423728,10613840,1,1.16,71.155,-9.35576272,5134
10,147.473,0.64641744,11210416,1,1.262,79.47300000000001,-9.35358256,5134
11,155.853,0.64750752,11864912,1,1.344,87.85300000000001,-9.35249248,5134
12,81.042,0.590423664,6080152,0,0,13.042000000000002,-9.409576336,5134
13,80.919,0.63388152,6100424,0,0,12.918999999999997,-9.36611848,5134
14,81.759,0.63551664,6214816,0,0,13.759,-9.36448336,5134
15,85.132,0.63551664,6456632,0,0,17.132000000000005,-9.36448336,5134
16,89.564,0.63606168,6818632,0,0,21.563999999999993,-9.36393832,5134
17,95.959,0.63878688,7286336,0,0,27.959000000000003,-9.36121312,5134
18,103.232,0.63987696,7845264,0,0,35.232,-9.36012304,5134
19,111.868,0.63987696,8478040,1,1.057,43.867999999999995,-9.36012304,5134
20,121.199,0.6485976,9186112,1,1.158,53.199,-9.3514024,5134
21,130.076,0.6458724,9944864,1,1.23,62.07599999999999,-9.3541276,5134
22,141.0,0.6485976,10752848,1,1.338,73.0,-9.3514024,5134
23,152.462,0.65023272,11605720,1,1.442,84.46199999999999,-9.34976728,5134
24,80.994,0.589164016,6084496,0,0,12.994,-9.410835984,5134
25,81.042,0.63442656,6103320,0,0,13.042000000000002,-9.36557344,5134
26,82.04,0.63551664,6184408,0,0,14.040000000000006,-9.36448336,5134
27,84.405,0.63606168,6398712,0,0,16.405,-9.36393832,5134
28,88.918,0.63660672,6734648,0,0,20.918000000000006,-9.36339328,5134
29,94.084,0.6376968,7179184,0,0,26.084000000000003,-9.3623032,5134
