k,rtt,tput,cwnd,M,U,Xl,Xt,port
0,75.846,0.002265472,27512,0,0,7.846000000000004,-9.997734528,5151
1,70.667,0.005523072,76744,0,0,2.6670000000000016,-9.994476928,5151
2,68.669,0.017962096,233128,0,0,0.6689999999999969,-9.982037904,5151
3,69.544,0.046401072,535760,0,0,1.543999999999997,-9.953598928,5151
4,68.646,0.09338352,999120,0,0,0.6460000000000008,-9.90661648,5151
5,68.482,0.1607868,1639136,0,0,0.4819999999999993,-9.8392132,5151
6,68.555,0.2507184,2442776,0,0,0.5550000000000068,-9.7492816,5151
7,69.669,0.36190656,3482440,0,0,1.668999999999997,-9.63809344,5151
8,69.368,0.49653144,4719032,0,0,1.367999999999995,-9.50346856,5151
9,81.056,0.62243568,6098976,0,0,13.055999999999997,-9.37756432,5151
10,98.222,0.63442656,7390592,0,0,30.221999999999994,-9.36557344,5151
11,114.503,0.6349716,8624288,0,0,46.503,-9.3650284,5151
12,129.978,0.63606168,9821784,0,0,61.97800000000001,-9.36393832,5151
13,146.714,0.63279144,10996112,0,0,78.714,-9.36720856,5151
14,161.427,0.63388152,12167544,0,0,93.42699999999999,-9.36611848,5151
15,81.976,0.568561504,6100424,0,0,13.975999999999999,-9.431438496,5151
16,82.951,0.62461584,6139520,0,0,14.950999999999993,-9.37538416,5151
17,84.274,0.62843112,6303144,0,0,16.274,-9.37156888,5151
18,88.405,0.62897616,6591296,0,0,20.405,-9.37102384,5151
19,92.904,0.6295212,6993840,0,0,24.903999999999996,-9.3704788,5151
20,99.188,0.62897616,7493400,0,0,31.188000000000002,-9.37102384,5151
21,107.961,0.63115632,8079840,0,0,39.961,-9.36884368,5151
22,116.23,0.63061128,8737232,0,0,48.230000000000004,-9.36938872,5151
23,126.058,0.6322464,9453992,0,0,58.05800000000001,-9.3677536,5151
24,136.292,0.6322464,10224328,0,0,68.292,-9.3677536,5151
25,146.936,0.63333648,11036656,0,0,78.936,-9.36666352,5151
26,158.164,0.63333648,11886632,0,0,90.16399999999999,-9.36666352,5151
27,80.402,0.573612208,6055536,0,0,12.402000000000001,-9.426387792,5151
28,80.94,0.6322464,6081600,0,0,12.939999999999998,-9.3677536,5151
29,81.613,0.6349716,6217712,0,0,13.613,-9.3650284,5151
