k,rtt,tput,cwnd,M,U,Xl,Xt,port
0,70.799,0.006391296,499560,0,0,2.7990000000000066,-9.993608704,5120
1,158.531,0.472516512,33844104,1,1.963,90.531,-9.527483488,5120
2,115.674,0.61724016,8758952,1,0.789,47.67400000000001,-9.38275984,5120
3,116.126,0.64641744,8770536,1,0.794,48.126000000000005,-9.35358256,5120
4,116.316,0.64696248,8828456,1,0.795,48.316,-9.35303752,5120
5,117.715,0.64805256,8986288,1,0.637,49.715,-9.35194744,5120
6,117.102,0.64423728,9077512,1,0.793,49.102000000000004,-9.35576272,5120
7,123.166,0.654048,9420688,1,0.926,55.166,-9.345952,5120
8,128.671,0.65023272,9855088,1,1.022,60.67099999999999,-9.34976728,5120
9,136.1,0.6513228,10369128,1,1.141,68.1,-9.348677200000001,5120
10,143.28,0.64968768,10951224,1,1.229,75.28,-9.35031232,5120
11,152.705,0.65350296,11597032,1,1.335,84.70500000000001,-9.34649704,5120
12,166.401,0.614465984,7929248,0,0,98.40100000000001,-9.385534016,5120
13,81.028,0.617724112,6125040,0,0,13.028000000000006,-9.382275888,5120
14,81.112,0.63824184,6177168,0,0,13.111999999999995,-9.36175816,5120
15,82.982,0.63824184,6356720,0,0,14.982,-9.36175816,5120
16,86.859,0.63878688,6660800,0,0,18.858999999999995,-9.36121312,5120
17,93.1,0.64151208,7077824,0,0,25.099999999999994,-9.35848792,5120
18,99.024,0.64205712,7596208,0,0,31.024,-9.35794288,5120
19,107.732,0.64369224,8195680,1,1.012,39.732,-9.35630776,5120
20,115.6,0.65350296,8873344,1,1.088,47.599999999999994,-9.34649704,5120
21,125.747,0.65077776,9610376,1,1.201,57.747,-9.34922224,5120
22,135.148,0.654048,10402432,1,1.28,67.148,-9.345952,5120
23,146.636,0.65295792,11235032,1,1.392,78.636,-9.34704208,5120
24,158.166,0.654048,12106728,1,1.494,90.166,-9.345952,5120
25,80.739,0.590254096,6109112,0,0,12.739000000000004,-9.409745904,5120
26,80.027,0.6376968,6145312,0,0,12.027000000000001,-9.3623032,5120
27,82.629,0.63987696,6303144,0,0,14.629000000000005,-9.36012304,5120
28,85.714,0.640422,6586952,0,0,17.714,-9.359577999999999,5120
29,91.672,0.64096704,6985152,0,0,23.671999999999997,-9.35903296,5120
