k,rtt,tput,cwnd,M,U,Xl,Xt,port
0,68.678,0.00653664,490872,0,0,0.6779999999999973,-9.99346336,5135
1,170.683,0.522445824,34484120,0,0,102.68299999999999,-9.477554176,5135
2,114.373,0.508970992,8654696,0,0,46.373000000000005,-9.491029008,5135
3,114.831,0.63606168,8677864,0,0,46.831,-9.36393832,5135
4,116.485,0.63606168,8783568,0,0,48.485,-9.36393832,5135
5,119.746,0.63824184,8986288,0,0,51.745999999999995,-9.36175816,5135
6,122.641,0.6376968,9278784,0,0,54.641000000000005,-9.3623032,5135
7,127.032,0.63878688,9658160,0,0,59.032,-9.36121312,5135
8,133.784,0.640422,10118624,0,0,65.78399999999999,-9.359577999999999,5135
9,139.884,0.64151208,10650040,0,0,71.88399999999999,-9.35848792,5135
10,147.189,0.64096704,11246616,0,0,79.189,-9.35903296,5135
11,156.288,0.64151208,11898216,0,0,88.28800000000001,-9.35848792,5135
12,80.783,0.580334368,6087392,0,0,12.783000000000001,-9.419665632,5135
13,80.868,0.63388152,6109112,0,0,12.867999999999995,-9.36611848,5135
14,81.867,0.63660672,6224952,0,0,13.867000000000004,-9.36339328,5135
15,85.325,0.63933192,6471112,0,0,17.325000000000003,-9.36066808,5135
16,89.844,0.63878688,6836008,0,0,21.843999999999994,-9.36121312,5135
17,96.154,0.640422,7306608,0,0,28.153999999999996,-9.359577999999999,5135
18,102.678,0.640422,7865536,0,0,34.678,-9.359577999999999,5135
19,112.152,0.64151208,8502656,0,0,44.152,-9.35848792,5135
20,120.486,0.64205712,9203488,0,0,52.486000000000004,-9.35794288,5135
21,130.301,0.641512416,9955000,0,0,62.30099999999999,-9.358487584,5135
22,141.072,0.64151208,10752848,0,0,73.072,-9.35848792,5135
23,151.649,0.64205712,11592688,0,0,83.649,-9.35794288,5135
24,81.812,0.587286656,6098976,0,0,13.811999999999998,-9.412713344,5135
25,80.609,0.63606168,6117800,0,0,12.608999999999995,-9.36393832,5135
26,81.974,0.63715176,6191648,0,0,13.974000000000004,-9.36284824,5135
27,85.324,0.63333648,6397264,0,0,17.323999999999998,-9.36666352,5135
28,87.975,0.63606168,6724512,0,0,19.974999999999994,-9.36393832,5135
29,94.393,0.63933192,7161808,0,0,26.393,-9.36066808,5135
30,101.113,0.640422,7696120,0,0,33.113,-9.359577999999999,5135
