end,ertt,lHat,samplertt,controlRate,throughput,retransmits,cwnd,mss,txPort,rxPort
"-1 day, 23:59:59.325278",68.003,113.25841122999284,-65.52899999999995,18.122902215806821,1380259.008,3570,4902,8948,43321,5650
"-1 day, 23:59:59.310359",70.815,78.177188556994267,90.49899999999998,0.1,1380259.008,3570,4902,8948,43321,5650
"-1 day, 23:59:59.295587",70.815,73.801591278756462,70.815,10.215344377736816,1380259.008,3570,4902,8948,43321,5650
"-1 day, 23:59:59.280326",50.483,62.058853961633645,-91.84100000000001,18.08085196540868,1380259.008,3570,4902,8948,43321,5650
"-1 day, 23:59:59.265394",50.526,56.239801110990683,50.82700000000005,23.440887552727766,1380259.008,3570,4902,8948,43321,5650
"-1 day, 23:59:59.250581",50.505,53.359850721626351,50.358,22.602403363231801,1380259.008,3570,4902,8948,43321,5650
"-1 day, 23:59:59.235977",50.502,51.92920579831339,50.481,29.146374323425952,1380259.008,3570,4902,8948,43321,5650
"-1 day, 23:59:59.221313",50.367,45.818035865030083,49.42199999999996,34.35,1380259.008,3570,4902,8948,43321,5650
"-1 day, 23:59:59.206672",50.27,48.105944489694984,49.591000000000044,34.35,1380259.008,3570,4903,8948,43321,5650
"-1 day, 23:59:59.189828",50.1,49.138983124485456,48.90999999999999,34.35,0.0,3570,4903,8948,43321,5650
"-1 day, 23:59:59.175050",50.189,49.638918030037019,50.81199999999999,34.35,0.0,3570,4903,8948,43321,5650
"-1 day, 23:59:59.159971",50.186,49.794953689850246,50.165,34.35,0.0,3570,4903,8948,43321,5650
"-1 day, 23:59:59.145003",50.132,49.88298702704266,49.753999999999984,34.35,0.0,3570,4904,8948,43321,5650
"-1 day, 23:59:59.129847",50.197,49.98003882976468,50.65200000000004,34.35,0.0,3570,4904,8948,43321,5650
"-1 day, 23:59:59.115325",50.223,50.124210643617289,50.40499999999997,34.35,0.0,3570,4904,8948,43321,5650
"-1 day, 23:59:59.100315",50.144,50.129798385879127,49.590999999999994,34.35,0.0,3570,4905,8948,43321,5650
"-1 day, 23:59:59.085874",50.13,50.141109383864702,50.03200000000003,34.35,0.0,3570,4905,8948,43321,5650
"-1 day, 23:59:59.071208",50.173,50.162928539853269,50.474,34.320367200287144,0.0,3570,4905,8948,43321,5650
"-1 day, 23:59:59.056199",50.188,50.175464278454989,50.293000000000006,34.345926934809668,0.0,3570,4906,8948,43321,5650
"-1 day, 23:59:59.039459",50.132,50.123668502163412,49.73999999999997,34.35,1486454.976,3570,4906,8948,43321,5650
"-1 day, 23:59:59.024815",50.209,50.169049808853991,50.74800000000004,34.35,1486454.976,3570,4906,8948,43321,5650
"-1 day, 23:59:59.009775",50.215,50.19818313284145,50.257000000000005,34.34972276089308,1486454.976,3570,4906,8948,43321,5650
"-1 day, 23:59:58.995379",50.206,50.197816353976151,50.143,34.35,1486454.976,3570,4907,8948,43321,5650
"-1 day, 23:59:58.980239",50.181,50.190154655912167,50.00599999999996,34.35,1486454.976,3570,4907,8948,43321,5650
"-1 day, 23:59:58.965586",50.223,50.207272903432028,50.51700000000001,34.307314826204212,1486454.976,3570,4907,8948,43321,5650
"-1 day, 23:59:58.950523",50.152,50.179636480313675,49.655000000000015,34.302372346976327,1486454.976,3570,4908,8948,43321,5650
"-1 day, 23:59:58.935607",50.169,50.174318241240144,50.28799999999997,34.300641348725676,1486454.976,3570,4908,8948,43321,5650
"-1 day, 23:59:58.920756",50.384,50.273528210436041,51.889000000000024,34.35,1486454.976,3570,4908,8948,43321,5650
"-1 day, 23:59:58.906197",50.437,50.304062798796586,50.80799999999998,34.35,1486454.976,3570,4908,8948,43321,5650
"-1 day, 23:59:58.889254",50.202,50.265224958820966,48.557,34.35,0.0,3570,4909,8948,43321,5650
"-1 day, 23:59:58.874328",50.208,50.244020035906352,50.25,34.219050126295969,0.0,3570,4909,8948,43321,5650
"-1 day, 23:59:58.859815",50.449,50.346510413719145,52.135999999999996,34.141756439639373,0.0,3570,4909,8948,43321,5650
"-1 day, 23:59:58.844965",50.207,50.276755391395028,48.51300000000002,34.193085020195689,0.0,3570,4910,8948,43321,5650
"-1 day, 23:59:58.830151",50.151,50.213877844780612,49.75900000000002,34.246511551841046,0.0,3570,4910,8948,43321,5650
"-1 day, 23:59:58.815478",50.227,50.220438923767603,50.75899999999995,34.178183800056139,0.0,3570,4910,8948,43321,5650
"-1 day, 23:59:58.800673",50.4,50.310219766967478,51.61100000000001,34.176964145328377,0.0,3570,4911,8948,43321,5650
"-1 day, 23:59:58.785965",50.191,50.250610017735326,48.72800000000003,34.329275016353897,0.0,3570,4911,8948,43321,5650
"-1 day, 23:59:58.771205",50.223,50.236805015205064,50.446999999999974,34.284815680749503,0.0,3570,4911,8948,43321,5650
"-1 day, 23:59:58.755521",50.188,50.212402529853406,49.943000000000026,34.192792326033654,0.0,3570,4911,8948,43321,5650
"-1 day, 23:59:58.738056",50.148,50.180201304065847,49.86800000000001,34.142150779399799,1733403.888,3570,4912,8948,43321,5650
"-1 day, 23:59:58.722553",50.2,50.190100655885438,50.564,34.258230800771649,1733403.888,3570,4912,8948,43321,5650
"-1 day, 23:59:58.706946",50.25,50.220050361705091,50.59999999999998,34.276766519822772,1733403.888,3570,4912,8948,43321,5650
"-1 day, 23:59:58.691857",50.17,50.195025204334186,49.610000000000014,34.302283762253374,1733403.888,3570,4913,8948,43321,5650
"-1 day, 23:59:58.676782",50.2,50.197512602353449,50.41000000000001,34.293292552457316,1733403.888,3570,4913,8948,43321,5650
"-1 day, 23:59:58.661463",50.27,50.233756350495568,50.760000000000005,34.272781586605298,1733403.888,3570,4913,8948,43321,5650
"-1 day, 23:59:58.646322",50.215,50.224378178557387,49.830000000000005,34.273170445966983,1733403.888,3570,4914,8948,43321,5650
"-1 day, 23:59:58.630808",50.155,50.189689134435461,49.734999999999985,34.280056564131264,1733403.888,3570,4914,8948,43321,5650
"-1 day, 23:59:58.615992",50.203,50.196344568879937,50.539000000000016,34.238070272027997,1733403.888,3570,4914,8948,43321,5650
"-1 day, 23:59:58.601069",50.219,50.207672289289619,50.33099999999999,34.233486192048169,1733403.888,3570,4914,8948,43321,5650
"-1 day, 23:59:58.584067",50.385,50.296336440949929,51.546999999999976,34.324122472445929,1753892.784,3570,4915,8948,43321,5650
"-1 day, 23:59:58.569247",50.15,50.223168420798672,48.505,34.330047116382218,1753892.784,3570,4915,8948,43321,5650
"-1 day, 23:59:58.554250",52.753,51.116443461977454,70.97400000000002,34.35,1753892.784,3570,4915,8948,43321,5650
"-1 day, 23:59:58.539787",54.428,52.030713249064391,66.15299999999998,34.35,1753892.784,3899,4157,8948,43321,5650
"-1 day, 23:59:58.524935",54.076,52.967414957069394,51.61200000000002,34.35,1753892.784,4133,3415,8948,43321,5650
"-1 day, 23:59:58.510296",53.784,53.650613914092133,51.73999999999999,33.653633947468784,1753892.784,4405,2637,8948,43321,5650
"-1 day, 23:59:58.495387",55.635,54.642849245499818,68.59199999999998,31.821533278282764,1753892.784,4700,2267,8948,43321,5650
"-1 day, 23:59:58.480919",50.241,52.442131626527932,12.483000000000011,30.266440529372822,1753892.784,4701,2266,8948,43321,5650
"-1 day, 23:59:58.466153",50.23,51.336130288914973,50.15299999999998,29.228518766300741,1753892.784,4701,2266,8948,43321,5650
"-1 day, 23:59:58.451769",50.457,50.896581587610484,52.04600000000003,29.134714865410526,1753892.784,4701,2266,8948,43321,5650
"-1 day, 23:59:58.434769",50.142,50.519300080399248,47.93700000000002,29.855343872820569,0.0,4701,2457,8948,43321,5650
"-1 day, 23:59:58.419876",50.255,50.387150765618166,51.046,32.981396693014744,0.0,4701,2457,8948,43321,5650
"-1 day, 23:59:58.404872",50.351,50.369073718957232,51.022999999999975,32.975906750182141,0.0,4701,2457,8948,43321,5650
"-1 day, 23:59:58.389724",50.904,50.636539587792399,54.775000000000034,33.082558350647027,0.0,4701,2457,8948,43321,5650
"-1 day, 23:59:58.375042",50.443,50.539770025871675,47.21599999999996,33.254345226353351,0.0,4701,2457,8948,43321,5650
