end,socket,rtt,seconds,bits_per_second,bytes,start,retransmits,rttvar,pmtu,snd_cwnd
0.10009288787841797,16,50130,0.10009288787841797,12571234846.659998,157286400,0,0,18831,9000,89480
0.20014095306396484,16,50146,0.10004806518554688,0,0,0.10009288787841797,0,2549,9000,125272
0.3001399040222168,16,52316,0.09999895095825195,0,0,0.20014095306396484,0,130,9000,501088
0.400068998336792,16,51019,0.0999290943145752,209864005.51156792,2621440,0.3001399040222168,0,99,9000,2004352
0.50006103515625,16,50305,0.09999203681945801,524329753.32489264,6553600,0.400068998336792,0,65,9000,8017408
0.6000559329986572,16,50420,0.09999489784240723,2097259005.459587,26214400,0.50006103515625,0,81,9000,32069632
0.700078010559082,16,51394,0.1000220775604248,1258013461.3179255,15728640,0.6000559329986572,1713,350,9000,15945336
0.8000569343566895,16,50911,0.09997892379760742,5034225823.6234865,62914560,0.700078010559082,0,90,9000,16795396
0.9000470638275146,16,50355,0.0999901294708252,2621698775.5425153,32768000,0.8000569343566895,0,39,9000,16795396
1.0000579357147217,16,50286,0.10001087188720703,2935693634.6992917,36700160,0.9000470638275146,0,38,9000,16804344
1.1000568866729736,16,50226,0.09999895095825195,2726326200.3000293,34078720,1.0000579357147217,0,51,9000,16813292
1.2000129222869873,16,50279,0.09995603561401367,2622593006.9124093,32768000,1.1000568866729736,0,23,9000,16822240
1.300055980682373,16,50289,0.10004305839538574,2725124205.244953,34078720,1.2000129222869873,0,51,9000,16822240
1.4000790119171143,16,50234,0.10002303123474121,2620836389.019062,32768000,1.300055980682373,0,75,9000,16831188
1.5000760555267334,16,50446,0.09999704360961914,2621517502.2912703,32768000,1.4000790119171143,0,56,9000,16840136
1.6000630855560303,16,50465,0.09998703002929688,2726651245.8677654,34078720,1.5000760555267334,0,68,9000,16849084
1.7000579833984375,16,50432,0.09999489784240723,2621573756.824484,32768000,1.6000630855560303,0,60,9000,16858032
1.800055980682373,16,50297,0.09999799728393555,2726352201.093505,34078720,1.7000579833984375,0,45,9000,16858032
1.9000589847564697,16,50574,0.10000300407409668,2621361252.3656373,32768000,1.800055980682373,0,89,9000,16866980
2.0000579357147217,16,50416,0.09999895095825195,2621467500.2884893,32768000,1.9000589847564697,0,45,9000,16875928
2.1000568866729736,16,50399,0.09999895095825195,2621467500.2884893,32768000,2.0000579357147217,0,61,9000,16884876
2.2000579833984375,16,50299,0.10000109672546387,2726267700.327917,34078720,2.1000568866729736,0,31,9000,16893824
2.3000590801239014,16,50296,0.10000109672546387,2621411250.315305,32768000,2.2000579833984375,0,58,9000,16902772
2.4000580310821533,16,50321,0.09999895095825195,2726326200.3000293,34078720,2.3000590801239014,0,71,9000,16920668
2.50006103515625,16,50329,0.10000300407409668,2621361252.3656373,32768000,2.4000580310821533,0,75,9000,16947512
2.6000759601593018,16,50416,0.10001492500305176,2725890760.7207747,34078720,2.50006103515625,0,88,9000,16974356
2.700058937072754,16,50332,0.09998297691345215,2726761779.017596,34078720,2.6000759601593018,0,53,9000,17001200
2.8000218868255615,16,50347,0.09996294975280762,2727308074.383257,34078720,2.700058937072754,0,44,9000,17036992
2.9000589847564697,16,50327,0.1000370979309082,2620467860.6435866,32768000,2.8000218868255615,0,61,9000,17081732
3.0000600814819336,16,50299,0.10000109672546387,2726267700.327917,34078720,2.9000589847564697,0,49,9000,17126472
3.100058078765869,16,50362,0.09999799728393555,2726352201.093505,34078720,3.0000600814819336,0,104,9000,17171212
3.2000679969787598,16,50332,0.10000991821289062,2726027226.816188,34078720,3.100058078765869,0,44,9000,17224900
3.3000590801239014,16,50349,0.0999910831451416,2726540721.6788073,34078720,3.2000679969787598,0,87,9000,17278588
3.400057077407837,16,50368,0.09999799728393555,2831211901.135563,35389440,3.3000590801239014,0,109,9000,17341224
3.50010085105896,16,50313,0.10004377365112305,2725104722.166181,34078720,3.400057077407837,0,44,9000,17403860
3.600069046020508,16,50384,0.09996819496154785,2727164975.869229,34078720,3.50010085105896,0,76,9000,17475444
3.700054883956909,16,50347,0.09998583793640137,2831556206.790837,35389440,3.600069046020508,0,60,9000,17547028
3.8000550270080566,16,50302,0.10000014305114746,2831151150.0057936,35389440,3.700054883956909,0,40,9000,17627560
3.9000558853149414,16,50299,0.10000085830688477,2726274200.200842,34078720,3.8000550270080566,0,23,9000,17708092
4.000057935714722,16,50397,0.10000205039978027,2831097151.1902328,35389440,3.9000558853149414,0,86,9000,17797572
4.100069046020508,16,50325,0.10001111030578613,2830840684.9435844,35389440,4.000057935714722,0,23,9000,17887052
4.2000579833984375,16,50487,0.09998893737792969,2831468434.6519656,35389440,4.100069046020508,0,66,9000,17976532
4.300055027008057,16,50423,0.09999704360961914,2936099602.5662227,36700160,4.2000579833984375,0,54,9000,18074960
4.40005898475647,16,50387,0.10000395774841309,2831043154.4344816,35389440,4.300055027008057,0,81,9000,18173388
4.500058889389038,16,50441,0.09999990463256836,2831157900.002575,35389440,4.40005898475647,0,40,9000,18280764
4.6000590324401855,16,50384,0.10000014305114746,2936008600.006008,36700160,4.500058889389038,0,51,9000,18388140
4.700054883956909,16,50373,0.09999585151672363,2936134605.0530624,36700160,4.6000590324401855,0,70,9000,18504464
4.800066947937012,16,50372,0.10001206398010254,2935658642.725463,36700160,4.700054883956909,0,70,9000,18620788
4.900059938430786,16,50294,0.09999299049377441,2936218614.426575,36700160,4.800066947937012,0,65,9000,18746060
5.000056028366089,16,50382,0.09999608993530273,2936127604.4889297,36700160,4.900059938430786,0,142,9000,18871332
