end,socket,rtt,seconds,bits_per_second,bytes,start,retransmits,rttvar,pmtu,snd_cwnd
0.10009193420410156,16,69482,0.10009193420410156,12571354625.180555,157286400,0,0,26069,9000,89480
0.2001349925994873,16,69480,0.10004305839538574,0,0,0.10009193420410156,0,19556,9000,89480
0.3001430034637451,16,71550,0.10000801086425781,0,0,0.2001349925994873,0,5639,9000,178960
0.40012502670288086,16,73164,0.09998202323913574,0,0,0.3001430034637451,0,357,9000,340024
0.500067949295044,16,71073,0.09994292259216309,104917484.18033785,1310720,0.40012502670288086,0,267,9000,823216
0.6000628471374512,16,70679,0.09999489784240723,104862950.27297936,1310720,0.500067949295044,0,81,9000,2487544
0.7000579833984375,16,69808,0.09999513626098633,314588100.74418825,3932160,0.6000628471374512,0,100,9000,5744616
0.8000209331512451,16,69947,0.09996294975280762,1048964643.9935603,13107200,0.7000579833984375,0,73,9000,17287536
0.9000558853149414,16,69798,0.10003495216369629,2306061181.7208285,28835840,0.8000209331512451,0,35,9000,43523072
1.034066915512085,16,76253,0.13401103019714355,1095436993.388094,18350080,0.9000558853149414,2352,117,9000,12938808
1.10005784034729,16,71234,0.06599092483520508,317794000.4988692,2621440,1.034066915512085,0,1090,9000,12938808
1.2000749111175537,16,70149,0.10001707077026367,6814580698.584512,85196800,1.10005784034729,0,22,9000,28239888
1.300076961517334,16,69808,0.10000205039978027,3565085301.4988117,44564480,1.2000749111175537,0,52,9000,28257784
1.4000768661499023,16,69745,0.09999990463256836,3040873300.0027657,38010880,1.300076961517334,0,41,9000,28266732
1.5000889301300049,16,69802,0.10001206398010254,3355038448.8291006,41943040,1.4000768661499023,0,61,9000,28284628
1.6000678539276123,16,69486,0.09997892379760742,3146391139.764679,39321600,1.5000889301300049,0,24,9000,28293576
1.7000558376312256,16,69860,0.09998798370361328,3355846448.4555297,41943040,1.6000678539276123,0,62,9000,28302524
1.8000638484954834,16,69815,0.10000801086425781,3145476020.185761,39321600,1.7000558376312256,0,55,9000,28320420
1.9000320434570312,16,69859,0.09996819496154785,3251619778.9210033,40632320,1.8000638484954834,0,56,9000,28329368
2.000056028366089,16,69868,0.10002398490905762,3354638592.984261,41943040,1.9000320434570312,0,56,9000,28347264
2.100054979324341,16,70003,0.09999895095825195,3040902300.3346477,38010880,2.000056028366089,0,73,9000,28356212
2.200054883956909,16,69881,0.09999990463256836,3460304100.003147,43253760,2.100054979324341,0,72,9000,28374108
2.30007004737854,16,69851,0.10001516342163086,3040409369.9079366,38010880,2.200054883956909,0,135,9000,28383056
2.4000580310821533,16,69843,0.09998798370361328,3355846448.4555297,41943040,2.30007004737854,0,54,9000,28400952
2.5000619888305664,16,69599,0.10000395774841309,3250456955.0914416,40632320,2.4000580310821533,0,83,9000,28427796
2.6000559329986572,16,69812,0.09999394416809082,3250782461.921627,40632320,2.5000619888305664,0,48,9000,28463588
2.700054883956909,16,69770,0.09999895095825195,3355478400.3692665,41943040,2.6000559329986572,0,45,9000,28517276
2.800057888031006,16,69748,0.10000300407409668,3145633502.8387647,39321600,2.700054883956909,0,52,9000,28579912
2.9000308513641357,16,69945,0.09997296333312988,3356350645.342974,41943040,2.800057888031006,0,69,9000,28642548
3.0000810623168945,16,69681,0.10005021095275879,3248954269.1067843,40632320,2.9000308513641357,0,73,9000,28714132
3.100054979324341,16,69957,0.09997391700744629,3356318628.3379083,41943040,3.0000810623168945,0,76,9000,28812560
3.2000820636749268,16,69466,0.10002708435058594,3249705438.3860574,40632320,3.100054979324341,0,21,9000,28910988
3.300018072128296,16,69911,0.09993600845336914,3252667031.9404907,40632320,3.2000820636749268,0,47,9000,29009416
3.4000580310821533,16,70174,0.10003995895385742,3458918652.291765,43253760,3.300018072128296,0,143,9000,29134688
3.500027894973755,16,70380,0.09996986389160156,3146676285.7764297,39321600,3.4000580310821533,0,46,9000,29242064
3.6000568866729736,16,70165,0.10002899169921875,3459297890.7604303,43253760,3.500027894973755,0,53,9000,29385232
3.7000699043273926,16,69574,0.10001301765441895,3145318553.3003564,39321600,3.6000568866729736,0,83,9000,29519452
3.8000409603118896,16,70410,0.09997105598449707,3461302639.972717,43253760,3.7000699043273926,0,51,9000,29680516
3.90004301071167,16,69846,0.10000205039978027,3565085301.4988117,44564480,3.8000409603118896,0,76,9000,29841580
4.000056028366089,16,69887,0.10001301765441895,3250162505.077035,40632320,3.90004301071167,0,88,9000,30002644
4.100028991699219,16,69967,0.09997296333312988,3566122560.6769104,44564480,4.000056028366089,0,49,9000,30199500
4.200023889541626,16,69875,0.09999489784240723,3250751458.46236,40632320,4.100028991699219,0,77,9000,30378460
4.300055027008057,16,69858,0.10003113746643066,3668873605.712638,45875200,4.200023889541626,0,28,9000,30593212
4.400068998336792,16,69747,0.10001397132873535,3354974465.4884396,41943040,4.300055027008057,0,45,9000,30799016
4.500015020370483,16,69951,0.0999460220336914,3567083839.3129835,44564480,4.400068998336792,0,30,9000,31022716
4.600055932998657,16,70324,0.10004091262817383,3668515114.051887,45875200,4.500015020370483,0,29,9000,31255364
4.700026988983154,16,69980,0.09997105598449707,3356414681.185665,41943040,4.600055932998657,0,59,9000,31479064
4.800072908401489,16,70327,0.10004591941833496,3773140995.6018615,47185920,4.700026988983154,0,29,9000,31738556
4.900074005126953,16,70297,0.10000109672546387,3460262850.4162025,43253760,4.800072908401489,0,81,9000,31989100
5.000074863433838,16,69889,0.10000085830688477,3774841200.278089,47185920,4.900074005126953,0,51,9000,32266488
5.100075960159302,16,69802,0.10000109672546387,3669975750.441427,45875200,5.000074863433838,0,58,9000,32543876
