end,socket,rtt,seconds,bits_per_second,bytes,start,retransmits,rttvar,pmtu,snd_cwnd
0.10009121894836426,16,69393,0.10009121894836426,12571444460.568872,157286400,0,0,26035,9000,89480
0.20014119148254395,16,69400,0.10004997253417969,0,0,0.10009121894836426,0,14658,9000,89480
0.300152063369751,16,71757,0.10001087188720703,0,0,0.20014119148254395,0,3332,9000,232648
0.40012621879577637,16,72358,0.09997415542602539,0,0,0.300152063369751,0,153,9000,536880
0.5000660419464111,16,70558,0.09993982315063477,104920737.99445581,1310720,0.40012621879577637,0,314,9000,1288512
0.6000571250915527,16,70289,0.0999910831451416,209733901.66760054,2621440,0.5000660419464111,0,194,9000,3874484
0.700045108795166,16,69841,0.09998798370361328,524351007.57117647,6553600,0.6000571250915527,0,104,9000,9001688
0.8000562191009521,16,69605,0.10001111030578613,1572689269.4131024,19660800,0.700045108795166,0,28,9000,27166128
0.9000551700592041,16,69941,0.09999895095825195,3355478400.3692665,41943040,0.8000562191009521,0,48,9000,64488236
1.0000641345977783,16,70201,0.10000896453857422,4613320837.074008,57671680,0.9000551700592041,0,19,9000,74161024
1.1000571250915527,16,70340,0.09999299049377441,4089733070.094158,51118080,1.0000641345977783,0,26,9000,74161024
1.200073003768921,16,70453,0.10001587867736816,3669433342.5183015,45875200,1.1000571250915527,0,36,9000,74161024
1.3000710010528564,16,70252,0.09999799728393555,3565229801.429968,44564480,1.200073003768921,0,46,9000,74161024
1.400057077407837,16,70554,0.09998607635498047,3460782667.0934634,43253760,1.3000710010528564,0,54,9000,74161024
1.5000550746917725,16,70538,0.09999799728393555,3460370101.38791,43253760,1.400057077407837,0,34,9000,74161024
1.60005521774292,16,70325,0.10000014305114746,3355438400.0068665,41943040,1.5000550746917725,0,56,9000,74161024
1.700057029724121,16,70552,0.10000181198120117,3250526701.0672374,40632320,1.60005521774292,0,84,9000,74161024
1.8000571727752686,16,70591,0.10000014305114746,3355438400.0068665,41943040,1.700057029724121,0,58,9000,74161024
1.9000790119171143,16,70556,0.1000218391418457,3354710560.0022883,41943040,1.8000571727752686,0,39,9000,74161024
2.0000572204589844,16,70577,0.09997820854187012,3251294104.3934383,40632320,1.9000790119171143,0,55,9000,74161024
2.1000561714172363,16,70388,0.09999895095825195,3355478400.3692665,41943040,2.0000572204589844,0,84,9000,74161024
2.2000720500946045,16,70607,0.10001587867736816,3250069531.9447813,40632320,2.1000561714172363,0,60,9000,74161024
2.3000741004943848,16,70449,0.10000205039978027,3355374401.410646,41943040,2.2000720500946045,0,71,9000,74161024
2.400074005126953,16,70544,0.09999990463256836,3355446400.0030518,41943040,2.3000741004943848,0,23,9000,74161024
2.5000619888305664,16,70575,0.09998798370361328,3355846448.4555297,41943040,2.400074005126953,0,26,9000,74161024
2.6000611782073975,16,70536,0.09999918937683105,3250611950.213601,40632320,2.5000619888305664,0,24,9000,74161024
2.7000560760498047,16,70627,0.09999489784240723,3355614408.7353396,41943040,2.6000611782073975,0,76,9000,74161024
2.800056219100952,16,70556,0.10000014305114746,3355438400.0068665,41943040,2.7000560760498047,0,27,9000,74161024
2.9000561237335205,16,70545,0.09999990463256836,3250588700.0029564,40632320,2.800056219100952,0,46,9000,74161024
3.0000741481781006,16,70579,0.10001802444458008,3354838508.9921956,41943040,2.9000561237335205,0,60,9000,74161024
3.100084066390991,16,70567,0.10000991821289062,3355110433.004539,41943040,3.0000741481781006,0,30,9000,74161024
3.200061082839966,16,70589,0.09997701644897461,3251332871.7495837,40632320,3.100084066390991,0,71,9000,74161024
3.3000741004943848,16,70542,0.10001301765441895,3355006456.8537135,41943040,3.200061082839966,0,64,9000,74161024
3.4000561237335205,16,70536,0.09998202323913574,3251170055.0660896,40632320,3.3000741004943848,0,47,9000,74161024
3.5000782012939453,16,70582,0.1000220775604248,3354702563.5144677,41943040,3.4000561237335205,0,52,9000,74161024
3.6000611782073975,16,70541,0.09998297691345215,3251139044.2132874,40632320,3.5000782012939453,0,38,9000,74161024
3.7000551223754883,16,70540,0.09999394416809082,3355646412.3061957,41943040,3.6000611782073975,0,35,9000,74161024
3.8000741004943848,16,70585,0.10001897811889648,3249968817.053801,40632320,3.7000551223754883,0,73,9000,74161024
3.9000561237335205,16,70569,0.09998202323913574,3356046508.4553185,41943040,3.8000741004943848,0,45,9000,74161024
4.0000550746917725,16,70587,0.09999895095825195,3355478400.3692665,41943040,3.9000561237335205,0,39,9000,74161024
4.10006308555603,16,70577,0.10000801086425781,3250325220.8586197,40632320,4.0000550746917725,0,43,9000,74161024
4.200057029724121,16,70567,0.09999394416809082,3250782461.921627,40632320,4.10006308555603,0,25,9000,74161024
4.300055027008057,16,70535,0.09999799728393555,3355510401.3458524,41943040,4.200057029724121,0,14,9000,74161024
4.400062084197998,16,70576,0.1000070571899414,3250356216.188051,40632320,4.300055027008057,0,44,9000,74161024
4.500057220458984,16,70569,0.09999513626098633,3355606407.9380083,41943040,4.400062084197998,0,45,9000,74161024
4.600056171417236,16,70348,0.09999895095825195,3250619700.357727,40632320,4.500057220458984,0,87,9000,74161024
4.700056076049805,16,70515,0.09999990463256836,3355446400.0030518,41943040,4.600056171417236,0,38,9000,74161024
4.800056219100952,16,70275,0.10000014305114746,3565153300.0072956,44564480,4.700056076049805,0,52,9000,74161024
4.9000561237335205,16,70527,0.09999990463256836,3355446400.0030518,41943040,4.800056219100952,0,53,9000,74161024
5.000057220458984,16,70335,0.10000109672546387,3355406400.4035907,41943040,4.9000561237335205,0,52,9000,74161024
