end,ertt,lHat,samplertt,controlRate,throughput,retransmits,cwnd,mss,txPort,rxPort
"-1 day, 23:59:59.998319",50.078,50.178000000000004,50.078,0.1,5.264,-1,16,8948,43716,5641
"-1 day, 23:59:59.982350",50.078,100.206,50.078,0.1,5.264,-1,16,8948,43716,5641
"-1 day, 23:59:59.964597",50.078,125.22000000000001,50.078,0.1,0.0,-1,16,8948,43716,5641
"-1 day, 23:59:59.948570",50.066,138.79835555808245,49.982,1.1844248169981251,0.0,-1,18,8948,43716,5641
"-1 day, 23:59:59.932754",52.484,145.32281846620572,69.41,0.1,0.0,-1,28,8948,43716,5641
"-1 day, 23:59:59.916530",52.78,133.35257177148802,54.852,34.35,0.0,-1,32,8948,43716,5641
"-1 day, 23:59:59.900287",52.139,62.597468698724484,47.652000000000015,0.1,0.0,-1,34,8948,43716,5641
"-1 day, 23:59:59.883753",52.229,58.563997163000366,52.85899999999997,0.1,0.0,-1,48,8948,43716,5641
"-1 day, 23:59:59.867817",51.787,56.778527932021291,48.693,0.1,0.0,-1,64,8948,43716,5641
"-1 day, 23:59:59.851813",51.38,54.095364881116929,48.53100000000003,0.1,0.0,-1,66,8948,43716,5641
"-1 day, 23:59:59.836032",51.299,53.604976380649077,50.73199999999998,1.5480688741974433,0.0,-1,86,8948,43716,5641
"-1 day, 23:59:59.820564",51.461,52.394617614063186,52.59499999999999,1.6143395116544432,0.0,-1,108,8948,43716,5641
"-1 day, 23:59:59.803323",52.152,52.233851140082947,56.98900000000002,2.1810117353139784,4041.184,-1,128,8948,43716,5641
"-1 day, 23:59:59.787955",52.053,52.102278590244012,51.35999999999997,2.4924735869434178,4041.184,-1,148,8948,43716,5641
"-1 day, 23:59:59.772123",51.085,51.580550051475242,44.309000000000026,2.2081337193527308,4041.184,-1,192,8948,43716,5641
"-1 day, 23:59:59.756272",50.315,50.947927872495129,44.924999999999976,1.5889627256178633,4041.184,-1,254,8948,43716,5641
"-1 day, 23:59:59.740086",50.175,50.56471030743171,49.19499999999999,1.2125825202976466,4041.184,-1,290,8948,43716,5641
"-1 day, 23:59:59.724318",50.902,50.735830728904503,55.99100000000003,1.9256917220600973,4041.184,-1,360,8948,43716,5641
"-1 day, 23:59:59.708476",51.01,50.872205043986547,51.76599999999998,3.0631239991660286,4041.184,-1,487,8948,43716,5641
"-1 day, 23:59:59.692914",50.095,50.482929437022726,43.690000000000005,3.4270092721680649,4041.184,-1,567,8948,43716,5641
"-1 day, 23:59:59.677520",50.177,50.329775645661996,50.751000000000005,3.0806747862002477,4041.184,-1,679,8948,43716,5641
"-1 day, 23:59:59.661873",50.328,50.328873795810196,51.385000000000026,2.7141027927955408,4041.184,-1,909,8948,43716,5641
"-1 day, 23:59:59.644822",50.085,50.20696286843701,48.383999999999986,3.020937124974183,123077.664,-1,1108,8948,43716,5641
"-1 day, 23:59:59.629180",50.108,50.157479826595122,50.26899999999997,3.5621568692938617,123077.664,-1,1309,8948,43716,5641
"-1 day, 23:59:59.613510",50.251,50.204235235081434,51.252,3.5003852786760858,123077.664,-1,1755,8948,43716,5641
"-1 day, 23:59:59.597534",50.103,50.153618451436976,49.06700000000003,3.4989052774274607,123077.664,-1,2147,8948,43716,5641
"-1 day, 23:59:59.581707",50.165,50.159308960354068,50.59899999999998,3.6223104152594203,123077.664,-1,2497,8948,43716,5641
"-1 day, 23:59:59.565990",50.627,50.393194831070979,53.861000000000026,3.6354612748846691,123077.664,-1,3193,8948,43716,5641
"-1 day, 23:59:59.550510",50.612,50.502605776715946,50.507,3.646169169999506,123077.664,-1,3940,8948,43716,5641
"-1 day, 23:59:59.534586",50.64,50.57130614988472,50.83599999999999,3.64481942237565,123077.664,-1,4681,8948,43716,5641
"-1 day, 23:59:59.519063",50.63,50.600653651554637,50.56000000000002,3.3995214909344997,123077.664,-1,4987,8948,43716,5641
"-1 day, 23:59:59.503455",50.658,50.6293276181107,50.85399999999999,3.085344459437195,123077.664,-1,4987,8948,43716,5641
"-1 day, 23:59:59.486224",50.634,50.63166401894923,50.465999999999994,3.0850218686514372,0.0,-1,4987,8948,43716,5641
"-1 day, 23:59:59.470671",50.642,50.636832088249406,50.69800000000002,3.063672316329292,0.0,-1,4987,8948,43716,5641
"-1 day, 23:59:59.454798",50.644,50.640416073132478,50.657999999999966,3.0632605078830175,0.0,-1,4987,8948,43716,5641
"-1 day, 23:59:59.439231",50.74,50.690210155811549,51.41200000000003,3.0660995686491095,0.0,-1,4987,8948,43716,5641
"-1 day, 23:59:59.423319",50.729,50.709605406812585,50.65199999999998,3.088710927354513,0.0,-1,4987,8948,43716,5641
"-1 day, 23:59:59.407753",50.734,50.72180282968452,50.76900000000002,3.0654725880821441,0.0,-1,4987,8948,43716,5641
"-1 day, 23:59:59.391651",50.714,50.7179014294599,50.57399999999998,3.0208561671059431,0.0,-1,4987,8948,43716,5641
"-1 day, 23:59:59.375747",50.704,50.710950758872258,50.634000000000015,2.955025044930113,0.0,-1,4987,8948,43716,5641
"-1 day, 23:59:59.360027",50.73,50.720475461696452,50.91199999999997,2.9659335361398775,0.0,-1,4987,8948,43716,5641
"-1 day, 23:59:59.344301",50.711,50.715737751457844,50.57800000000001,2.9737587180136349,0.0,-1,4987,8948,43716,5641
"-1 day, 23:59:59.326668",50.734,50.724868949911077,50.895000000000024,2.9884059988437368,760974.912,-1,4987,8948,43716,5641
"-1 day, 23:59:59.310657",50.749,50.736934603933385,50.854000000000006,2.9915182053688016,760974.912,-1,4987,8948,43716,5641
"-1 day, 23:59:59.294875",50.778,50.757467675177367,50.98099999999997,2.9837704212425291,760974.912,-1,4987,8948,43716,5641
"-1 day, 23:59:59.279353",50.734,50.745733959758319,50.42600000000002,2.9817576230286225,760974.912,-1,4987,8948,43716,5641
"-1 day, 23:59:59.263963",50.754,50.749866995149922,50.89399999999997,2.9516402916523883,760974.912,-1,4987,8948,43716,5641
"-1 day, 23:59:59.248138",50.697,50.723434121268582,50.29800000000004,2.9306460493859419,760974.912,-1,4987,8948,43716,5641
"-1 day, 23:59:59.232231",50.947,50.83522828140736,52.697,2.9526647721149901,760974.912,-1,4987,8948,43716,5641
"-1 day, 23:59:59.216715",50.949,50.892117040354748,50.962999999999965,3.0134757780276571,760974.912,-1,4987,8948,43716,5641
"-1 day, 23:59:59.201170",50.939,50.915558959617883,50.869000000000014,2.9819250346202089,760974.912,-1,4987,8948,43716,5641
"-1 day, 23:59:59.185225",50.906,50.910779500205308,50.67499999999999,2.9031305480571166,760974.912,-1,4987,8948,43716,5641
"-1 day, 23:59:59.167719",50.951,50.930890131126581,51.26600000000001,2.7330919129204223,0.0,-1,4987,8948,43716,5641
"-1 day, 23:59:59.151936",50.965,50.947945368416356,51.063000000000024,2.748902096114056,0.0,-1,4987,8948,43716,5641
"-1 day, 23:59:59.136092",50.974,50.960972854731864,51.03699999999995,2.7658422640062672,0.0,-1,4987,8948,43716,5641
"-1 day, 23:59:59.120372",50.999,50.979986774719869,51.17400000000004,2.7703164611326683,0.0,-1,4987,8948,43716,5641
"-1 day, 23:59:59.104514",51.083,51.031495927849662,51.67099999999997,2.7451187021073147,0.0,-1,4987,8948,43716,5641
"-1 day, 23:59:59.088644",51.025,51.028247982310326,50.619,2.7295439705103579,0.0,-1,4987,8948,43716,5641
"-1 day, 23:59:59.072496",51.055,51.041624168695115,51.26500000000001,2.694859686425557,0.0,-1,4987,8948,43716,5641
"-1 day, 23:59:59.056944",51.086,51.063812570105597,51.30299999999999,2.6571044152138823,0.0,-1,4987,8948,43716,5641
"-1 day, 23:59:59.041074",51.036,51.049906482231833,50.68600000000002,2.6172408878485363,0.0,-1,4987,8948,43716,5641
"-1 day, 23:59:59.024858",51.031,51.04045333551877,50.99599999999998,2.6320691877363531,0.0,-1,4987,8948,43716,5641
"-1 day, 23:59:59.007312",51.071,51.055726903748727,51.35099999999999,2.6104140997567287,728942.976,-1,4987,8948,43716,5641
"-1 day, 23:59:58.991277",51.076,51.065863557532516,51.11100000000002,2.617669107860221,728942.976,-1,4987,8948,43716,5641
"-1 day, 23:59:58.975389",51.059,51.062431791023556,50.939999999999976,2.6461059286047801,728942.976,-1,4987,8948,43716,5641
"-1 day, 23:59:58.959052",51.055,51.058715909050228,51.027000000000015,2.6281979824341599,728942.976,-1,4987,8948,43716,5641
"-1 day, 23:59:58.943106",51.081,51.069858080272354,51.26300000000003,2.6040428846104522,728942.976,-1,4987,8948,43716,5641
"-1 day, 23:59:58.927436",51.152,51.110930757714861,51.64899999999999,2.6210775277917087,728942.976,-1,4987,8948,43716,5641
"-1 day, 23:59:58.911403",51.042,51.076466586581375,50.272000000000006,2.6244090239246565,728942.976,-1,4987,8948,43716,5641
