end,ertt,lHat,samplertt,controlRate,throughput,retransmits,cwnd,mss,txPort,rxPort
"-1 day, 23:59:59.248151",50.812,50.795958769720315,50.54599999999997,3.4948405041730792,0.0,-1,5549,8948,57018,5648
"-1 day, 23:59:59.230587",50.818,50.806979488108738,50.86,3.4129386288025652,0.0,-1,5549,8948,57018,5648
"-1 day, 23:59:59.213151",50.832,50.819489882964604,50.93000000000002,3.2904139392254841,0.0,-1,5549,8948,57018,5648
"-1 day, 23:59:59.195926",50.815,50.817244958820005,50.69599999999998,3.2564122847653656,0.0,-1,5549,8948,57018,5648
"-1 day, 23:59:59.180294",50.885,50.851123455323432,51.375,3.2863879455683578,0.0,-1,5549,8948,57018,5648
"-1 day, 23:59:59.162605",50.857,50.854061737915863,50.66100000000001,3.2832838565034832,0.0,-1,5549,8948,57018,5648
"-1 day, 23:59:59.146869",50.877,50.86553098200325,51.017000000000024,3.2677052651096425,0.0,-1,5549,8948,57018,5648
"-1 day, 23:59:59.129243",50.884,50.874765564834654,50.932999999999986,3.2553580851493726,0.0,-1,5549,8948,57018,5648
"-1 day, 23:59:59.112005",50.872,50.873382784631538,50.788,3.2131303827706104,0.0,-1,5549,8948,57018,5648
"-1 day, 23:59:59.092031",50.916,50.89469178664126,51.223999999999975,3.227407288822338,872437.392,-1,5549,8948,57018,5648
"-1 day, 23:59:59.076161",50.886,50.890345910227261,50.676000000000045,3.212968698241955,872437.392,-1,5549,8948,57018,5648
"-1 day, 23:59:59.058428",50.885,50.887672961772616,50.877999999999965,3.201676470661297,872437.392,-1,5549,8948,57018,5648
"-1 day, 23:59:59.040731",50.929,50.908336854719025,51.23700000000003,3.2009423882836119,872437.392,-1,5549,8948,57018,5648
"-1 day, 23:59:59.022778",50.896,50.902168461137236,50.66499999999999,3.1841730049563668,872437.392,-1,5549,8948,57018,5648
"-1 day, 23:59:59.005495",50.945,50.923584634606023,51.288,3.2012462466977163,872437.392,-1,5549,8948,57018,5648
"-1 day, 23:59:58.988154",50.959,50.941292592698026,51.05700000000002,3.1950782427445117,872437.392,-1,5549,8948,57018,5648
