end,ertt,lHat,samplertt,controlRate,throughput,retransmits,cwnd,mss,txPort,rxPort
"-1 day, 23:59:59.280229",29.358,29.343678943138077,29.512000000000015,14.35380353925629,555292.368,1367,849,8948,55614,5656
"-1 day, 23:59:59.264782",29.314,29.328839493597751,29.005999999999997,14.304181829131903,555292.368,1367,849,8948,55614,5656
"-1 day, 23:59:59.249085",29.45,29.389420144322727,30.401999999999994,14.3277356394723,555292.368,1367,850,8948,55614,5656
"-1 day, 23:59:59.233402",29.355,29.372210103330552,28.69000000000001,14.306806528994516,555292.368,1367,851,8948,55614,5656
"-1 day, 23:59:59.216137",29.391,29.38160506119398,29.642999999999983,14.287996183734231,555436.656,1367,851,8948,55614,5656
"-1 day, 23:59:59.200358",29.376,29.378802531519725,29.271000000000022,14.278048990850337,555436.656,1367,852,8948,55614,5656
"-1 day, 23:59:59.184495",29.405,29.391901284386503,29.608,14.225781617785202,555436.656,1367,852,8948,55614,5656
"-1 day, 23:59:59.168436",29.294,29.342950902409324,28.516999999999996,14.260372262479189,555436.656,1367,853,8948,55614,5656
"-1 day, 23:59:59.152479",29.408,29.37547556615781,30.206000000000007,14.237561697149259,555436.656,1367,853,8948,55614,5656
"-1 day, 23:59:59.136352",29.32,29.347737866800166,28.703999999999994,14.251082007579752,555436.656,1367,854,8948,55614,5656
"-1 day, 23:59:59.119924",29.363,29.355368939725214,29.663999999999994,14.254608002028782,555436.656,1367,854,8948,55614,5656
"-1 day, 23:59:59.103941",29.374,29.364684479285891,29.450999999999993,14.299996808308887,555436.656,1367,855,8948,55614,5656
"-1 day, 23:59:59.088444",29.396,29.380342266126355,29.550000000000015,14.263253199454388,555436.656,1367,855,8948,55614,5656
"-1 day, 23:59:59.072562",29.354,29.367171151890968,29.059999999999988,14.300563193698538,555436.656,1367,856,8948,55614,5656
"-1 day, 23:59:59.054755",29.375,29.37108557755904,29.522000000000006,14.263439707433832,0.0,1367,857,8948,55614,5656
