end,socket,rtt,seconds,bits_per_second,bytes,start,retransmits,rttvar,pmtu,snd_cwnd
0.10008716583251953,16,29164,0.10008716583251953,12571953552.022411,157286400,0,0,4653,9000,89480
0.20012903213500977,16,30693,0.10004186630249023,0,0,0.10008716583251953,0,69,9000,608464
0.3000640869140625,16,29770,0.09993505477905273,314777232.7693137,3932160,0.20012903213500977,0,160,9000,3006528
0.4000561237335205,16,30127,0.09999203681945801,524329753.32489264,6553600,0.3000640869140625,0,34,9000,8804832
0.5000650882720947,16,30034,0.10000896453857422,1677571213.4814575,20971520,0.4000561237335205,0,32,9000,26602404
0.6000330448150635,16,29607,0.09996795654296875,2936953901.5614743,36700160,0.5000650882720947,851,38,9000,15578468
0.7000560760498047,16,29986,0.10002303123474121,2516002933.4582996,31457280,0.6000330448150635,44,41,9000,7784760
0.8000550270080566,16,30055,0.09999895095825195,1887456600.2077124,23592960,0.7000560760498047,0,30,9000,7802656
0.900015115737915,16,29366,0.0999600887298584,2307788267.6097817,28835840,0.8000550270080566,0,50,9000,7829500
1.0000560283660889,16,29374,0.10004091262817383,2410738503.5198116,30146560,0.900015115737915,0,44,9000,7865292
1.1000571250915527,16,29303,0.10000109672546387,2097129000.252244,26214400,1.0000560283660889,0,42,9000,7892136
1.2000560760498047,16,29340,0.09999895095825195,2202032700.242331,27525120,1.1000571250915527,0,72,9000,7927928
1.3000481128692627,16,29384,0.09999203681945801,2097319013.2995706,26214400,1.2000560760498047,0,48,9000,7954772
1.4000740051269531,16,29403,0.10002589225769043,2201439597.586494,27525120,1.3000481128692627,0,91,9000,7981616
1.5000591278076172,16,29369,0.09998512268066406,2097464046.424143,26214400,1.4000740051269531,0,100,9000,8017408
1.6000690460205078,16,29479,0.10000991821289062,2201791221.659229,27525120,1.5000591278076172,0,58,9000,8044252
1.700057029724121,16,29337,0.09998798370361328,2202274231.798941,27525120,1.6000690460205078,0,62,9000,8071096
1.80007004737854,16,29341,0.10001301765441895,2201722987.3102493,27525120,1.700057029724121,0,41,9000,8106888
1.9000589847564697,16,29303,0.09998893737792969,2202253226.951529,27525120,1.80007004737854,0,69,9000,8133732
2.0000131130218506,16,29393,0.09995412826538086,2203020163.563036,27525120,1.9000589847564697,0,78,9000,8160576
2.100076198577881,16,29371,0.10006308555603027,2200621325.800498,27525120,2.0000131130218506,0,60,9000,8196368
2.2000560760498047,16,29393,0.09997987747192383,2307331493.427575,28835840,2.100076198577881,0,64,9000,8223212
2.300079107284546,16,29408,0.10002303123474121,2201502566.776012,27525120,2.2000560760498047,0,61,9000,8276900
2.400071144104004,16,29373,0.09999203681945801,2202184963.964549,27525120,2.300079107284546,0,47,9000,8330588
2.5000510215759277,16,29431,0.09997987747192383,2307331493.427575,28835840,2.400071144104004,0,82,9000,8393224
2.600058078765869,16,29368,0.1000070571899414,2306704411.4882946,28835840,2.5000510215759277,0,50,9000,8473756
2.700061082839966,16,29347,0.10000300407409668,2306797902.081761,28835840,2.600058078765869,0,58,9000,8563236
2.800072193145752,16,29350,0.10001111030578613,2306610928.4725504,28835840,2.700061082839966,0,40,9000,8652716
2.900057077407837,16,29343,0.09998488426208496,2412089405.1127534,30146560,2.800072193145752,0,48,9000,8769040
3.000063180923462,16,29331,0.100006103515625,2306726408.5932255,28835840,2.900057077407837,0,53,9000,8885364
3.1000711917877197,16,29361,0.10000801086425781,2411531615.47575,30146560,3.000063180923462,0,63,9000,9001688
3.200059175491333,16,29351,0.09998798370361328,2516884836.341647,31457280,3.1000711917877197,0,33,9000,9153804
3.3000271320343018,16,29480,0.09996795654296875,2517389058.4812636,31457280,3.200059175491333,0,105,9000,9296972
3.4000630378723145,16,29357,0.1000359058380127,2515679124.328699,31457280,3.3000271320343018,0,70,9000,9458036
3.5000550746917725,16,29364,0.09999203681945801,2621648766.624463,32768000,3.4000630378723145,0,68,9000,9628048
3.600076198577881,16,29403,0.1000211238861084,2620886366.9488153,32768000,3.5000550746917725,0,44,9000,9807008
3.7000679969787598,16,29319,0.0999917984008789,2621655017.6348844,32768000,3.600076198577881,0,37,9000,9994916
3.8000690937042236,16,29322,0.10000109672546387,2726267700.327917,34078720,3.7000679969787598,0,39,9000,10200720
3.9000751972198486,16,29197,0.100006103515625,2830982410.5462313,35389440,3.8000690937042236,0,57,9000,10406524
4.00006103515625,16,29321,0.09998583793640137,2831556206.790837,35389440,3.9000751972198486,0,50,9000,10630224
4.100059986114502,16,29263,0.09999895095825195,2936043600.323108,36700160,4.00006103515625,0,43,9000,10862872
4.2000579833984375,16,29428,0.09999799728393555,2936071601.1776204,36700160,4.100059986114502,0,47,9000,11095520
4.300023078918457,16,29395,0.09996509552001953,3041932170.6055083,38010880,4.2000579833984375,0,56,9000,11337116
4.400068044662476,16,29373,0.10004496574401855,3144314135.754577,39321600,4.300023078918457,0,39,9000,11596608
4.5000691413879395,16,29395,0.10000109672546387,3145693500.378366,39321600,4.400068044662476,0,56,9000,11856100
4.600057125091553,16,29448,0.09998798370361328,3250976246.941294,40632320,4.5000691413879395,0,56,9000,12133488
4.700067043304443,16,29471,0.10000991821289062,3355110433.004539,41943040,4.600057125091553,0,60,9000,12428772
4.800055980682373,16,29371,0.09998893737792969,3355814441.0689964,41943040,4.700067043304443,0,65,9000,12715108
4.900055170059204,16,29479,0.09999918937683105,3565187300.234272,44564480,4.800055980682373,0,95,9000,13037236
5.000058174133301,16,29406,0.10000300407409668,3565051303.2172666,44564480,4.900055170059204,0,42,9000,13350416
