end,ertt,lHat,samplertt,controlRate,throughput,retransmits,cwnd,mss,txPort,rxPort
"-1 day, 23:59:59.198726",70.069,70.072543270900937,69.943,4.3898668231312223,753471.936,-1,9098,8948,34977,5383
"-1 day, 23:59:59.183278",70.039,70.055771810018058,69.829,4.3599155360799822,753471.936,-1,9098,8948,34977,5383
"-1 day, 23:59:59.167758",70.071,70.063385941895561,70.29499999999997,4.3275450501485624,753471.936,-1,9098,8948,34977,5383
"-1 day, 23:59:59.152007",70.229,70.146197265623201,71.33500000000001,4.3709044075720547,753471.936,-1,9098,8948,34977,5383
"-1 day, 23:59:59.136284",70.242,70.194100062235165,70.33300000000004,4.4153993755876977,753471.936,-1,9098,8948,34977,5383
"-1 day, 23:59:59.120287",70.236,70.215050292078743,70.194,4.3992939954152463,753471.936,-1,9098,8948,34977,5383
"-1 day, 23:59:59.104472",70.301,70.25802629016971,70.75599999999999,4.3102597521738248,753471.936,-1,9098,8948,34977,5383
"-1 day, 23:59:59.088523",70.31,70.284013579296101,70.373,4.1961173659642732,753471.936,-1,9098,8948,34977,5383
"-1 day, 23:59:59.070903",70.267,70.275506850578111,69.96599999999995,4.1739151924499458,1080717.12,-1,9098,8948,34977,5383
"-1 day, 23:59:59.054989",70.253,70.264253512338271,70.15500000000003,4.1402206102813723,1080717.12,-1,9098,8948,34977,5383
"-1 day, 23:59:59.039419",70.291,70.277626875672354,70.55699999999997,4.097461148661119,1080717.12,-1,9098,8948,34977,5383
"-1 day, 23:59:59.023482",70.29,70.283813465104487,70.28300000000007,4.1170925659824356,1080717.12,-1,9098,8948,34977,5383
"-1 day, 23:59:59.007294",70.281,70.282406734169953,70.218,4.1483390969942775,1080717.12,-1,9098,8948,34977,5383
"-1 day, 23:59:58.991788",70.312,70.297203511615649,70.52899999999994,4.1450397348180186,1080717.12,-1,9098,8948,34977,5383
"-1 day, 23:59:58.976139",70.1,70.198608174068355,68.61599999999997,4.0932294665424944,1080717.12,-1,9098,8948,34977,5383
"-1 day, 23:59:58.960469",70.261,70.229804753640195,71.388,4.0873546673579941,1080717.12,-1,9098,8948,34977,5383
"-1 day, 23:59:58.944876",70.238,70.233902395601021,70.07700000000003,4.1320324750188533,1080717.12,-1,9098,8948,34977,5383
"-1 day, 23:59:58.929170",70.281,70.257451562428713,70.58200000000005,4.181122981924112,1080717.12,-1,9098,8948,34977,5383
"-1 day, 23:59:58.911490",70.311,70.284226248075043,70.52100000000002,4.2819024095577385,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:58.895940",70.242,70.263113403408695,69.75899999999999,4.1585597964094285,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:58.880340",70.275,70.269056727812639,70.50600000000001,4.1472444943513835,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:58.864835",70.292,70.280528451364503,70.41099999999997,4.1190574147407775,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:58.849010",70.23,70.25526464788048,69.79600000000002,4.1159116229360651,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:58.832760",70.245,70.250132342389662,70.35000000000001,4.1442596697630512,0.0,-1,9098,8948,34977,5383
